A,B,C,D
54,1,I-speech,
54,1,I-speech,
54,2,B-speech,Uberti
54,3,B-speech,Preziosi
54,3,I-speech,
54,3,I-speech,
54,3,I-speech,
54,4,B-speech,Presidente
54,5,B-speech,Medi
54,5,I-speech,
54,5,I-speech,
54,5,I-speech,
54,5,I-speech,
55,0,B-header,
55,0,I-header,
55,0,I-header,
55,0,I-header,
55,1,B-text,
55,2,H-speech,[hidden]
55,2,I-speech,
55,2,I-speech,
55,2,I-speech,
55,2,I-speech,
55,2,I-speech,
55,2,I-speech,
55,2,I-speech,
55,2,I-speech,
55,2,I-speech,
55,2,I-speech,
55,2,I-speech,
55,2,I-speech,
55,2,I-speech,
56,0,B-header,
56,0,I-header,
56,0,I-header,
56,0,I-header,
56,1,H-speech,[hidden]
56,1,I-speech,
56,2,B-speech,"CREDARO, ministro dell'istruzione pubblica "
56,3,B-speech,Presidente
56,4,B-speech,"CREDARO, ministro dell'istruzione pubblica "
56,4,I-speech,
56,4,I-speech,
56,5,B-speech,Presidente
56,6,B-description,
56,7,B-article,
56,7,I-article,
56,7,I-article,
56,8,N-speech,[inferred] Presidente
56,9,B-article,
56,9,I-article,
56,9,I-article,
56,10,N-speech,[inferred] Presidente
56,11,B-speech,Dari
56,11,I-speech,
56,11,I-speech,
56,11,I-speech,
56,12,B-speech,"CREDARO, ministro dell'istruzione pubblica "
56,13,B-speech,Presidente
56,14,B-speech,"CREDARO, ministro dell'istruzione pubblica "
56,14,I-speech,
57,1,B-title,
58,0,B-header,
58,0,I-header,
58,0,I-header,
58,0,I-header,
58,1,H-speech,[hidden]
58,1,I-speech,
58,1,I-speech,
58,1,I-speech,
58,1,I-speech,
58,1,I-speech,
58,2,B-speech,Presidente
58,3,B-speech,Cavalletto
58,3,I-speech,
58,3,I-speech,
58,3,I-speech,
58,3,I-speech,
58,4,B-speech,Antonibon
58,5,B-speech,Cavalletto
58,6,B-speech,Antonibon
58,7,B-speech,Cavalletto
58,7,I-speech,
58,7,I-speech,
58,7,I-speech,
59,0,B-header,
59,0,I-header,
59,0,I-header,
59,1,H-speech,[hidden]
59,2,B-speech,Presidente
59,3,B-text,"Porzio, Sansone, Natarianni, Leone Giovanni, Numeroso, Rodinò Mario, Reale Eugenio, La Rocca"
59,4,B-text,Mazza
59,5,N-speech,[inferred] Presidente
59,6,B-speech,"MARAZZA, Sottosegretario di Stato per l'interno"
59,6,I-speech,
59,6,I-speech,
59,6,I-speech,
59,6,I-speech,
59,6,I-speech,
59,6,I-speech,
59,6,I-speech,
59,6,I-speech,
59,6,I-speech,
59,6,I-speech,
60,0,B-header,
60,0,I-header,
60,0,I-header,
60,0,I-header,
60,1,H-speech,[hidden]
60,2,B-description,
60,3,H-speech,[hidden]
60,4,B-article,
60,4,I-article,
60,4,I-article,
60,4,I-article,
60,5,H-speech,[hidden]
60,5,I-speech,
60,6,B-description,
60,7,B-article,
60,7,I-article,
60,7,I-article,
60,7,I-article,
60,7,I-article,
60,7,I-article,
60,7,I-article,
60,7,I-article,
60,8,H-speech,[hidden]
60,8,I-speech,
60,9,B-article,
60,10,H-speech,[hidden]
60,11,B-article,
60,11,I-article,
60,12,H-speech,[hidden]
60,13,B-article,
60,14,B-speech,"ROCCO, ministro della giustizia e degli affari di culto"
60,15,B-speech,Presidente
60,16,B-speech,"ROCCO, ministro della giustizia e degli affari di culto"
60,16,I-speech,
60,16,I-speech,
60,16,I-speech,
60,16,I-speech,
61,0,B-header,
61,0,I-header,
61,0,I-header,
61,0,I-header,
61,1,B-other,
61,1,I-other,
61,1,I-other,
61,1,I-other,
61,1,I-other,
61,1,I-other,
61,1,I-other,
61,1,I-other,
61,1,I-other,
61,1,I-other,
62,0,B-header,
62,0,I-header,
62,0,I-header,
62,0,I-header,
62,1,B-other,
62,1,I-other,
63,0,B-header,
63,0,I-header,
63,1,H-speech,[hidden]
63,1,I-speech,
63,2,B-speech,Sanguinetti
63,3,B-speech,Torrigiani
63,3,I-speech,
63,4,B-speech,Sanguinetti
63,4,I-speech,
63,5,B-speech,"Peruzzi, ministro per l'interno"
63,6,B-speech,Presidente
63,6,I-speech,
63,7,B-speech,Mellana
63,7,I-speech,
63,7,I-speech,
63,8,B-speech,Presidente
63,8,I-speech,
63,9,B-description,
63,10,N-speech,[inferred] presidente
63,11,B-description,
63,12,N-speech,[inferred] presidente
63,13,B-description,
63,14,N-speech,[inferred] presidente
63,15,B-speech,"Peruzzi, ministro per l'interno"
63,16,B-speech,Mellana
63,17,B-speech,"Peruzzi, ministro per l'interno"
63,17,I-speech,
63,18,B-speech,Mellana
64,0,B-header,
64,0,I-header,
64,0,I-header,
64,0,I-header,
64,1,B-article,
64,2,B-article,
64,2,I-article,
64,3,B-article,
64,3,I-article,
64,4,B-article,
64,4,I-article,
64,5,B-article,
64,5,I-article,
64,6,B-article,
64,6,I-article,
64,6,I-article,
64,7,B-article,
64,7,I-article,
64,7,I-article,
64,8,B-article,
64,8,I-article,
64,9,B-article,
64,9,I-article,
65,0,B-header,
65,0,I-header,
65,1,H-speech,[hidden]
65,2,B-speech,Ercole
65,3,B-speech,Lioy
65,3,I-speech,
65,3,I-speech,
65,3,I-speech,
65,3,I-speech,
65,3,I-speech,
65,3,I-speech,
65,3,I-speech,
65,3,I-speech,
65,3,I-speech,
65,3,I-speech,
66,0,B-header,
66,0,I-header,
66,0,I-header,
66,0,I-header,
66,1,H-speech,[hidden]
66,1,I-speech,
66,1,I-speech,
66,1,I-speech,
66,1,I-speech,
66,1,I-speech,
66,1,I-speech,
66,2,B-speech,Presidente
66,3,B-title,
66,4,B-speech,Presidente
66,5,U-speech,[unknown] Voci dal banco della Commissione
66,6,B-speech,Presidente
66,6,I-speech,
66,7,B-speech,Manna
66,7,I-speech,
67,0,B-header,
67,0,I-header,
67,1,H-speech,[hidden]
67,2,B-speech,"MINGHETTI, ministro per l'agricoltura e commercio"
67,2,I-speech,
67,2,I-speech,
67,2,I-speech,
67,3,B-speech,Massari G.
67,4,B-description,
67,5,U-speech,[unknown] Voci a destra
67,6,U-speech,[unknown] Voci a sinistra
67,7,B-speech,Presidente
67,8,B-speech,Mancini S.
67,8,I-speech,
67,8,I-speech,
67,8,I-speech,
67,8,I-speech,
67,8,I-speech,
67,8,I-speech,
67,8,I-speech,
67,9,B-speech,"FERRARIS, ministro per l'interno"
67,10,U-speech,[unknown] Voci
67,11,B-speech,Presidente
67,11,I-speech,
67,12,B-speech,"FERRARIS, ministro per l'interno"
67,12,I-speech,
67,12,I-speech,
67,13,B-speech,Presidente
67,13,I-speech,
67,14,B-article,
68,0,B-header,
68,0,I-header,
68,0,I-header,
68,0,I-header,
68,1,B-article,
68,1,I-article,
68,1,I-article,
68,1,I-article,
68,1,I-article,
68,1,I-article,
68,1,I-article,
68,1,I-article,
68,2,B-description,
68,3,B-article,
68,3,I-article,
68,4,B-description,
68,5,B-article,
68,5,I-article,
68,5,I-article,
68,5,I-article,
68,6,B-description,
68,7,B-article,
68,7,I-article,
68,8,B-speech,Senatore Auriti
68,9,B-speech,Presidente
68,10,B-speech,"Senatore AURITI, relatore"
68,10,I-speech,
68,10,I-speech,
68,10,I-speech,
68,999,B-footer,
68,999,I-footer,
69,0,B-header,
69,0,I-header,
69,0,I-header,
69,0,I-header,
69,1,H-speech,[hidden]
69,1,I-speech,
69,1,I-speech,
69,1,I-speech,
69,1,I-speech,
69,1,I-speech,
69,1,I-speech,
69,1,I-speech,
69,1,I-speech,
69,2,B-speech,"MELODIA, presidente dell'Ufficio centrale"
69,3,B-speech,Presidente
69,4,B-speech,"MELODIA, presidente dell'Ufficio centrale"
70,0,B-header,
70,0,I-header,
70,1,H-speech,[hidden]
70,1,I-speech,
70,1,I-speech,
70,2,B-speech,Presidente
70,3,B-article,
70,3,I-article,
70,3,I-article,
70,3,I-article,
70,3,I-article,
70,3,I-article,
70,3,I-article,
70,3,I-article,
70,3,I-article,
70,4,N-speech,[Inferred] Presidente
70,5,B-description,
70,6,U-speech,[unknown] Voci
70,7,B-speech,Presidente
70,8,B-speech,Alippi
70,8,I-speech,
70,8,I-speech,
70,8,I-speech,
70,8,I-speech,
70,8,I-speech,
70,8,I-speech,
70,8,I-speech,
70,8,I-speech,
70,9,B-speech,Presidente
70,10,B-article,
70,11,N-speech,[inferred] Presidente
70,12,B-description,
70,13,N-speech,[inferred] Presidente
71,0,B-header,
71,0,I-header,
71,1,H-speech,[hidden]
71,1,I-speech,
71,2,U-speech,[unknown] Molte voci
71,3,B-speech,Presidente
71,4,B-speech,Varè
71,4,I-speech,
71,4,I-speech,
71,5,B-speech,Ministro di Grazia e Giustizia
71,5,I-speech,
71,5,I-speech,
71,5,I-speech,
71,5,I-speech,
71,5,I-speech,
71,5,I-speech,
71,5,I-speech,
71,5,I-speech,
71,5,I-speech,
72,0,B-header,
72,0,I-header,
72,0,I-header,
72,0,I-header,
72,1,B-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
72,1,I-other,
73,1,B-other,
74,0,B-header,
74,0,I-header,
74,0,I-header,
74,0,I-header,
74,1,H-speech,[hidden]
74,1,I-speech,
74,2,B-speech,Presidente
74,3,B-speech,DI CAPORIACCO 
74,3,I-speech,
74,3,I-speech,
74,4,B-speech,Presidente
74,4,I-speech,
74,5,B-speech,"CERMENATI, sottosegretario di Stato per l'agricoltura"
74,5,I-speech,
74,6,B-text,
74,6,I-text,
74,6,I-text,
74,6,I-text,
74,7,N-speech,"[inferred] CERMENATI, sottosegretario di Stato per l'agricoltura"
74,8,B-speech,Presidente
74,9,B-speech,DI CAPORIACCO 
74,9,I-speech,
74,10,B-speech,Presidente
74,11,B-text,
75,0,B-header,
75,0,I-header,
75,0,I-header,
75,0,I-header,
75,1,H-speech,[hidden]
75,1,I-speech,
75,1,I-speech,
75,1,I-speech,
75,1,I-speech,
75,1,I-speech,
75,1,I-speech,
75,1,I-speech,
75,1,I-speech,
75,1,I-speech,
75,1,I-speech,
75,1,I-speech,
75,1,I-speech,
75,1,I-speech,
75,1,I-speech,
76,0,B-header,
76,0,I-header,
76,1,H-speech,[hidden]
76,2,B-speech,"MINGHETTI, presidente del Consiglio, ministro delle finanze"
76,2,I-speech,
76,2,I-speech,
76,2,I-speech,
76,3,B-speech,Mellana
76,4,B-speech,"MINGHETTI, presidente del Consiglio, ministro delle finanze"
76,4,I-speech,
76,4,I-speech,
76,4,I-speech,
76,4,I-speech,
76,4,I-speech,
76,4,I-speech,
76,4,I-speech,
77,0,B-header,
77,0,I-header,
77,1,H-speech,[hidden]
77,1,I-speech,
77,1,I-speech,
77,1,I-speech,
77,1,I-speech,
77,1,I-speech,
77,1,I-speech,
77,1,I-speech,
77,1,I-speech,
77,1,I-speech,
77,1,I-speech,
77,1,I-speech,
78,0,B-header,
78,0,I-header,
78,0,I-header,
78,0,I-header,
78,1,H-speech,[hidden]
78,1,I-speech,
78,1,I-speech,
78,1,I-speech,
78,1,I-speech,
78,1,I-speech,
78,1,I-speech,
78,1,I-speech,
78,1,I-speech,
78,1,I-speech,
78,1,I-speech,
78,1,I-speech,
78,1,I-speech,
78,1,I-speech,
78,1,I-speech,
78,1,I-speech,
79,0,B-header,
79,0,I-header,
79,0,I-header,
79,0,I-header,
79,1,H-speech,[hidden]
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
79,1,I-speech,
80,0,B-header,
80,0,I-header,
80,1,B-speech,"POGGI, ministro"
80,2,B-speech,BORGATTI
80,3,B-speech,"CAPONE, relatore"
80,4,B-speech,Presidente
80,5,B-article,
80,6,B-description,
80,7,B-article,
80,8,B-description,
80,9,N-speech,[inferred] Presidente
80,10,B-speech,SANGUINETTI
80,10,I-speech,
80,11,U-speech,[unknown] Voci
80,12,B-speech,Presidente
80,13,U-speech,[unknown] Voci
80,14,U-speech,[unknown] Altre voci
80,15,B-speech,Presidente
80,15,I-speech,
80,15,I-speech,
80,16,B-description,
80,16,I-description,
80,17,N-speech,[inferred] presidente
80,18,B-speech,Sanguinetti
80,18,I-speech,
80,19,B-title,
80,20,B-speech,Presidente
80,20,I-speech,
80,21,B-speech,"Sella, ministro per le finanze"
80,22,B-speech,Presidente
80,22,I-speech,
80,22,I-speech,
80,23,B-speech,Macchi
80,23,I-speech,
80,23,I-speech,
80,23,I-speech,
80,23,I-speech,
81,0,B-header,
81,0,I-header,
81,0,I-header,
81,1,H-speech,[hidden]
81,1,I-speech,
81,1,I-speech,
81,1,I-speech,
81,2,B-description,
81,3,H-speech,[hidden]
81,4,B-description,
81,5,B-speech,Presidente
81,6,B-speech,"Micheli, Presidente della Commissione"
81,6,I-speech,
81,7,B-text,"PICCIONI, TOGLIATTI, ZUCCARINI, TARGETTI, GULLO ROCCO"
81,7,I-text,
81,7,I-text,
81,7,I-text,
81,7,I-text,
81,7,I-text,
81,8,B-speech,Lucifero
81,9,B-speech,Presidente
81,10,B-speech,Lucifero
81,10,I-speech,
81,11,B-speech,Colitto
81,12,B-speech,Presidente
81,13,B-speech,Colitto
81,13,I-speech,
82,0,B-header,
82,0,I-header,
82,0,I-header,
82,0,I-header,
82,1,B-article,
82,1,I-article,
82,2,B-speech,Presidente
82,2,I-speech,
82,2,I-speech,
82,3,B-title,
82,4,B-speech,Presidente
82,4,I-speech,
82,5,B-speechnotext,"REBAUDENGO, segretario"
82,6,B-article,
82,6,I-article,
82,7,B-speech,Presidente
82,7,I-speech,
82,7,I-speech,
82,8,B-title,
82,9,B-speech,Presidente
82,9,I-speech,
82,9,I-speech,
82,10,B-speechnotext,"REBAUDENGO, segretario"
82,11,B-article,
82,11,I-article,
82,12,B-speech,Presidente
82,12,I-speech,
82,12,I-speech,
82,13,B-title,
82,14,B-speech,Presidente
82,14,I-speech,
82,15,B-speechnotext,"REBAUDENGO, segretario"
82,16,B-article,
82,16,I-article,
82,17,B-speech,Presidente
82,17,I-speech,
82,17,I-speech,
82,999,B-footer,
83,0,B-header,
83,0,I-header,
83,0,I-header,
83,0,I-header,
83,1,B-article,
83,2,B-description,
83,3,B-article,
83,3,I-article,
83,3,I-article,
83,3,I-article,
83,3,I-article,
83,4,B-description,
83,5,B-article,
83,5,I-article,
83,5,I-article,
83,6,B-description,
83,7,B-article,
83,7,I-article,
83,8,B-description,
83,9,B-article,
83,9,I-article,
83,9,I-article,
83,10,B-description,
83,11,B-article,
83,11,I-article,
83,12,B-description,
83,13,H-speech,[hidden]
83,14,B-title,
83,15,B-speech,Presidente
83,15,I-speech,
83,15,I-speech,
83,16,B-speech,"Calza Bini, relatore"
83,17,B-speech,Presidente
83,18,B-speech,"CIANO, Ministro delle comunicazioni"
83,999,B-footer,
84,0,B-header,
84,0,I-header,
84,1,H-speech,[hidden]
84,2,B-speech,Presidente
84,2,I-speech,
84,2,I-speech,
84,3,U-speech,[unknown] Voci
84,4,U-speech,[unknown] Altre voci
84,5,B-speech,ASPRONI
84,6,B-speech,Presidente
84,7,B-speech,ASPRONI
84,8,U-speech,[unknown] Voci
84,9,B-speech,Presidente
84,9,I-speech,
84,10,B-description,
84,11,B-speech,PISSAVINI
84,12,B-speech,Presidente
84,13,B-speech,PISSAVINI
84,14,B-speech,Presidente
84,15,B-speech,PISSAVINI
84,15,I-speech,
84,15,I-speech,
84,16,B-speech,Presidente
84,16,I-speech,
84,17,U-speech,[unknown] Voci
84,18,B-speech,Presidente
84,20,B-other,
84,20,I-other,
85,0,B-header,
85,0,I-header,
85,0,I-header,
85,0,I-header,
85,1,H-speech,[hidden]
85,1,I-speech,
85,1,I-speech,
85,1,I-speech,
85,1,I-speech,
85,1,I-speech,
85,1,I-speech,
85,1,I-speech,
85,1,I-speech,
85,1,I-speech,
85,1,I-speech,
85,1,I-speech,
85,1,I-speech,
85,1,I-speech,
86,0,B-header,
86,0,I-header,
86,0,I-header,
86,0,I-header,
86,1,H-speech,[hidden]
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
86,1,I-speech,
87,0,B-header,
87,0,I-header,
87,0,I-header,
87,0,I-header,
87,1,H-speech,[hidden]
87,1,I-speech,
87,1,I-speech,
87,1,I-speech,
87,1,I-speech,
87,1,I-speech,
87,1,I-speech,
87,1,I-speech,
87,1,I-speech,
87,1,I-speech,
87,1,I-speech,
87,1,I-speech,
87,1,I-speech,
87,1,I-speech,
87,1,I-speech,
88,0,B-header,
88,0,I-header,
88,0,I-header,
88,0,I-header,
88,1,H-speech,[hidden]
88,1,I-speech,
88,2,B-speechnotext,"FABRIZI, Segretario"
88,3,B-article,
88,3,I-article,
88,4,B-other,
88,4,I-other,
88,4,I-other,
88,4,I-other,
88,4,I-other,
88,4,I-other,
88,4,I-other,
88,4,I-other,
88,4,I-other,
89,0,B-header,
89,0,I-header,
89,0,I-header,
89,0,I-header,
89,1,B-title,
89,2,B-presidencydeclaration,Presidenza del Presidente Farini
89,3,B-other,
89,4,B-description,
89,4,I-description,
89,5,B-speechnotext,Senatore segretario Verga C.
89,6,B-title,
89,7,B-speech,Presidente
89,7,I-speech,
89,7,I-speech,
89,7,I-speech,
89,7,I-speech,
89,8,B-speechnotext,senatore segretario Cencelli 
89,9,B-speech,Presidente
89,10,B-title,
89,11,B-speech,"MICELI, ministro di agricoltura, industria e commercio"
89,12,B-speech,Presidente
89,13,B-speech,"MICELI, ministro di agricoitima, industria e commercio"
89,14,B-speech,Presidente
89,14,I-speech,
89,14,I-speech,
89,999,B-footer,
89,999,I-footer,
90,0,B-header,
90,0,I-header,
90,0,I-header,
90,0,I-header,
90,1,B-title,
90,2,B-presidencydeclaration,Presidenza del Presidente Tecchio
90,3,B-other,
90,4,B-description,
90,4,I-description,
90,5,B-speechnotext,Senatore Segretario Casati
90,6,B-title,
90,7,B-speech,Senatore Segretrio Casati
90,7,I-speech,
90,7,I-speech,
90,7,I-speech,
90,7,I-speech,
90,8,B-speechnotext,Senatore Antonacci
90,9,B-title,
90,10,B-speech,Senatore GIOVANOLA
90,11,B-speech,Presidente
90,12,B-speech,Senatore GIOVANOLA
90,999,B-footer,
91,0,B-header,
91,0,I-header,
91,0,I-header,
91,0,I-header,
91,1,H-speech,[hidden]
91,1,I-speech,
91,2,B-speech,Presidente
91,2,I-speech,
91,3,B-description,
91,4,B-title,
91,5,B-speech,Presidente
91,5,I-speech,
91,6,B-text,Il sottosegretario di Stato Vicini
91,6,I-text,
91,6,I-text,
91,6,I-text,
91,7,B-text,Il sottosegretario di Stato PAVIA
91,7,I-text,
91,8,B-speech,Presidente
91,9,H-text,[hidden]
91,9,I-text,
91,9,I-text,
91,9,I-text,
91,9,I-text,
92,0,B-header,
92,0,I-header,
92,0,I-header,
92,0,I-header,
92,1,H-speech,[hidden]
92,2,B-speech,Presidente
92,2,I-speech,
92,2,I-speech,
92,2,I-speech,
92,3,B-speech,BOMBACCI
92,4,B-speech,Presidente
92,5,B-description,
92,6,B-other,
92,6,I-other,
92,6,I-other,
92,6,I-other,
92,6,I-other,
92,6,I-other,
93,0,B-header,
93,0,I-header,
93,0,I-header,
93,0,I-header,
93,1,H-speech,[hidden]
93,1,I-speech,
93,1,I-speech,
93,1,I-speech,
93,1,I-speech,
93,1,I-speech,
93,1,I-speech,
93,1,I-speech,
93,1,I-speech,
93,1,I-speech,
93,1,I-speech,
93,1,I-speech,
94,0,B-header,
94,0,I-header,
94,0,I-header,
94,0,I-header,
94,1,H-speech,[hidden]
94,1,I-speech,
94,1,I-speech,
94,1,I-speech,
94,1,I-speech,
94,1,I-speech,
94,1,I-speech,
94,1,I-speech,
94,1,I-speech,
94,1,I-speech,
94,1,I-speech,
94,1,I-speech,
94,1,I-speech,
94,1,I-speech,
94,1,I-speech,
94,1,I-speech,
95,0,B-header,
95,0,I-header,
95,0,I-header,
95,0,I-header,
95,1,B-article,
95,1,I-article,
95,1,I-article,
95,1,I-article,
95,1,I-article,
95,2,B-description,
95,3,B-article,
95,3,I-article,
95,3,I-article,
95,4,B-description,
95,5,B-article,
95,5,I-article,
95,6,B-description,
95,7,H-speech,[hidden]
95,8,B-title,
95,9,B-speech,Presidente
95,9,I-speech,
95,9,I-speech,
95,9,I-speech,
95,9,I-speech,
95,9,I-speech,
95,9,I-speech,
95,9,I-speech,
96,0,B-header,
96,0,I-header,
96,0,I-header,
96,0,I-header,
96,1,H-speech,[hidden]
96,2,B-speech,Presidente
96,3,B-speech,Fracassi
96,3,I-speech,
96,3,I-speech,
96,3,I-speech,
96,3,I-speech,
96,3,I-speech,
96,3,I-speech,
96,3,I-speech,
96,3,I-speech,
96,3,I-speech,
96,3,I-speech,
96,4,B-speech,Gatti
96,5,B-speech,Fracassi
96,6,B-speech,Gatti
96,7,B-speech,Presidente
96,8,B-speech,Fracassi
96,9,B-speech,Gatti
96,10,B-speech,Fracassi
97,0,B-header,
97,0,I-header,
97,0,I-header,
97,0,I-header,
97,1,H-speech,[hidden]
97,1,I-speech,
97,2,B-title,
97,3,B-speech,Presidente
97,3,I-speech,
97,3,B-speechnotext,"Cimati, segretario"
97,4,B-speech,Presidente
97,4,I-speech,
97,4,I-speech,
97,5,B-article,
97,6,N-speech,[inferred] Presidente
97,6,I-speech,
97,7,B-description,
97,8,B-other,
97,8,I-other,
97,8,I-other,
98,0,B-header,
98,0,I-header,
98,0,I-header,
98,0,I-header,
98,1,H-speech,[hidden]
98,1,I-speech,
98,1,I-speech,
98,1,I-speech,
98,1,I-speech,
98,1,I-speech,
98,1,I-speech,
98,1,I-speech,
98,1,I-speech,
98,1,I-speech,
98,2,B-speech,Torre
98,3,B-speech,Presidente
98,3,I-speech,
98,4,B-description,
98,5,B-description,
98,6,B-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
98,6,I-other,
99,0,B-header,
99,0,I-header,
99,0,I-header,
99,0,I-header,
99,1,H-speech,[hidden]
99,1,I-speech,
99,2,B-speech,"GALLENGA, segretario"
99,3,B-article,
99,3,I-article,
99,4,B-speech,Presidente
99,5,B-title,
99,6,B-speech,Presidente
99,6,I-speech,
99,7,B-speech,"GALLENGA, segretario"
99,8,B-article,
99,8,I-article,
99,9,B-speech,Presidente
99,10,B-title,
99,11,B-speech,Presidente
99,11,I-speech,
99,11,I-speech,
99,12,B-speech,"GALLENGA, segretario"
99,13,B-article,
99,13,I-article,
99,14,B-speech,Presidente
99,15,B-title,
99,16,B-speech,Presidente
99,16,I-speech,
99,17,B-speech,"GALLENGA, segretario"
99,18,B-article,
99,18,I-article,
99,19,B-speech,Presidente
99,20,B-title,
99,21,B-speech,Presidente
99,21,I-speech,
100,0,B-header,
100,0,I-header,
100,1,B-speech,Sanguinetti
100,1,I-speech,
100,1,I-speech,
100,1,I-speech,
100,1,I-speech,
100,2,B-speech,Presidente
100,3,B-speech,Cadolini
100,3,I-speech,
100,4,B-speech,Presidente
100,5,B-speech,Avitabile
100,5,I-speech,
100,6,B-text,
100,7,N-speech,[Inferred] Avitabile
100,7,I-speech,
100,7,I-speech,
100,7,I-speech,
100,7,I-speech,
100,7,I-speech,
101,0,B-header,
101,0,I-header,
101,1,H-speech,[hidden]
101,2,B-speech,PRESIDENTE
101,3,B-speech,CAMERINI
101,4,U-speech,[unknown] Voci
101,5,B-speech,CAMERINI
101,6,U-speech,[unknown] Voci
101,7,B-speech,CAMERINI
101,8,U-speech,[unknown] Voci
101,9,B-speech,CAMERINI
101,10,B-speech,PRESIDENTE
101,10,I-speech,
101,11,U-speech,[unknown] Voci
101,12,B-speech,MANDOJ-ALBANESE
101,12,I-speech,
101,12,I-speech,
101,13,B-speech,PRESIDENTE
101,14,B-speech,MANDOJ-ALBANESE
101,15,U-speech,[unknown] Voci
101,16,B-speech,PRESIDENTE
101,17,B-speech,MANDOJ-ALBANESE
101,17,I-speech,
101,17,I-speech,
101,18,U-speech,[unknown] Voci
101,19,B-speech,MANDOJ-ALBANESE
101,19,I-speech,
102,0,B-header,
102,0,I-header,
102,1,B-speech,BASTIAN
102,2,B-speech,MELLANA
102,3,U-speech,[unknown] Voci
102,4,B-speech,MELLANA
102,5,B-speech,PRESIDENTE
102,6,B-speech,MELLANA
102,6,I-speech,
102,6,I-speech,
102,6,I-speech,
102,6,I-speech,
102,6,I-speech,
102,6,I-speech,
102,6,I-speech,
102,6,I-speech,
102,7,U-speech,[unknown] Voci
102,8,B-speech,PRESIDENTE
102,9,U-speech,[unknown] Voci
102,9,B-speech,BONAVERA
102,10,B-speech,VALERIO LORENZO
102,11,B-speech,BONAVERA
102,12,B-speech,VALERIO LORENZO
102,13,B-speech,PRESIDENTE
102,14,U-speech,[unknown] Voci
102,15,B-speech,VALERIO LORENZO
102,16,B-speech,PRESIDENTE
102,17,B-speech,VALERIO LORENZO
102,17,I-speech,
102,18,U-speech,[unknown] Voci
102,19,B-speech,PRESIDENTE
102,20,B-description,
102,21,N-speech,[inferred] PRESIDENTE
102,22,U-speech,[unknown] Voci
102,23,B-speech,PRESIDENTE
102,24,B-description,
102,25,B-other,
102,25,I-other,
102,25,I-other,
102,25,I-other,
103,0,B-header,
103,0,I-header,
103,1,H-speech,[hidden]
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
103,1,I-speech,
104,0,B-header,
104,0,I-header,
104,0,I-header,
104,0,I-header,
104,1,H-speech,[hidden]
104,1,I-speech,
104,1,I-speech,
104,2,B-speech,PRESIDENTE
104,3,B-speech,TONELLO
104,3,I-speech,
104,3,I-speech,
104,3,I-speech,
104,3,I-speech,
104,4,B-speech,PRESIDENTE
104,5,B-speech,"MERLIN, relatore"
104,5,I-speech,
104,5,I-speech,
104,5,I-speech,
104,5,I-speech,
104,5,I-speech,
104,5,I-speech,
104,5,I-speech,
104,6,B-speech,PRESIDENTE
104,7,B-speech,BISOGNI
104,7,I-speech,
104,7,I-speech,
105,0,B-header,
105,0,I-header,
105,0,I-header,
105,0,I-header,
105,1,H-speech,[hidden]
105,1,I-speech,
105,1,I-speech,
105,2,B-speech,"SALANDRA, presidente del Consiglio, ministro dell'interno"
105,3,B-speech,CICCOTTI
